,Unnamed: 0,Player_ID,Player Name,Date,MIN_x,PTS,AST_x,REB_x,STL_x,BLK_x,TOV_x,USG_PCT,FG_PCT,FT_PCT,TS,player_pos_C,player_pos_F,player_pos_G,player_pos_PF,player_pos_SF,Fantasy_Point,PTS_rolling_3,REB_rolling_3,AST_rolling_3,USG_PCT_rolling_3,FG_PCT_rolling_3,FT_PCT_rolling_3,TOV_rolling_3,TS_rolling_3
0,0,2544,LeBron James,2018-10-01,36.38,27.75,8.0,8.62,2.12,0.5,3.25,0.27,0.51,0.8,0.5,False,True,False,False,False,57.85,27.75,8.62,8.0,0.27,0.51,0.8,3.25,0.5
1,1,2544,LeBron James,2018-11-01,33.79,28.29,5.79,7.36,0.86,1.14,3.71,0.3,0.52,0.64,0.5,False,True,False,False,False,52.51,28.02,7.99,6.895,0.28500000000000003,0.515,0.72,3.48,0.5
2,2,2544,LeBron James,2018-12-01,34.42,25.83,8.17,9.25,1.25,0.33,3.17,0.29,0.51,0.64,0.48,False,True,False,False,False,54.02,27.290000000000003,8.41,7.32,0.2866666666666667,0.5133333333333333,0.6933333333333334,3.3766666666666665,0.49333333333333335
3,3,2544,LeBron James,2019-01-01,40.0,24.0,9.0,14.0,1.0,0.0,4.0,0.29,0.41,0.71,0.41,False,True,False,False,False,56.3,26.040000000000003,10.203333333333333,7.653333333333333,0.2933333333333333,0.48,0.6633333333333333,3.6266666666666665,0.4633333333333333
4,4,2544,LeBron James,2019-02-01,37.5,25.62,10.62,9.62,2.12,0.5,3.75,0.26,0.5,0.49,0.5,False,True,False,False,False,61.49,25.150000000000002,10.956666666666665,9.263333333333334,0.27999999999999997,0.47333333333333333,0.6133333333333334,3.64,0.4633333333333333
5,5,2544,LeBron James,2019-03-01,34.92,29.0,9.75,7.58,0.83,0.42,3.92,0.32,0.51,0.58,0.49,False,True,False,False,False,56.43,26.206666666666667,10.4,9.79,0.29,0.47333333333333333,0.5933333333333333,3.89,0.4666666666666666
6,6,2544,LeBron James,2019-10-01,32.5,23.25,9.5,6.25,0.75,0.5,4.0,0.24,0.49,0.83,0.48,False,True,False,False,False,48.0,25.956666666666667,7.816666666666666,9.956666666666665,0.2733333333333334,0.5,0.6333333333333333,3.89,0.49
7,7,2544,LeBron James,2019-11-01,35.4,26.33,11.4,7.27,1.47,0.67,3.6,0.27,0.5,0.55,0.5,False,True,False,False,False,59.09,26.19333333333333,7.033333333333334,10.216666666666667,0.27666666666666667,0.5,0.6533333333333333,3.84,0.49
8,8,2544,LeBron James,2019-12-01,35.23,24.31,10.62,8.15,1.23,0.46,3.92,0.26,0.47,0.77,0.49,False,True,False,False,False,55.36,24.629999999999995,7.223333333333334,10.506666666666666,0.25666666666666665,0.48666666666666664,0.7166666666666667,3.84,0.49
9,9,2544,LeBron James,2020-01-01,34.54,25.38,10.38,8.08,1.38,0.31,4.38,0.27,0.5,0.68,0.5,False,True,False,False,False,55.46,25.34,7.833333333333333,10.799999999999999,0.26666666666666666,0.49,0.6666666666666666,3.966666666666667,0.49666666666666665
